"Link Text","URL"
"Enable accessibility",""
"",""
"",""
"",""
"Japan",""
"International - other",""
"Asia - other",""
"Financial Professional",""
"RIA",""
"Individual Investor",""
"Private Client",""
"Institution or Consultant",""
"Employer or Plan Sponsor",""
"Third-Party Administrator",""
"Capitalgroup.com/participant",""
"Capitalgroup.com/participant/planpremier",""
"Client Accounts",""
"Dashboard/Client List",""
"Recent Transactions",""
"Log in to Client Accounts",""
"Log in to Client Accounts",""
"Log out of Client Accounts",""
"Log in to Capital Ideas Pro™ (Financial Professional site)",""
"Register for Capital Ideas Pro™",""
"username",""
"Log Out",""
"Log in to RIA Insider",""
"Log out",""
"PlanPremier®-Bundled","https://myretirement.americanfunds.com/sponsor"
"PlanPremier®-TPA","https://planadmin.americanfunds.com/"
"RecordkeeperDirect","https://www.myplanrs.com/tf/myPLAN/SponsorWelcome?cz=3000518"
"Register for Capital Ideas Pro™",""
"",""
"shopping_cart",""
"For You",""
"Equities",""
"Fixed Income",""
"Public-Private",""
"Exchange-Traded Funds",""
"Mutual Funds",""
"Insurance Series",""
"Separately Managed Accounts*",""
"Portfolio Construction*",""
"Model Portfolios*",""
"Target Date",""
"Retirement Plans",""
"CollegeAmerica 529s",""
"Explore Investments",""
"Investments Approach",""
"Exchange-Traded Fund Returns",""
"Mutual Fund Returns",""
"Interval Fund Returns",""
"Insurance Series Returns",""
"Separately Managed Account Returns*",""
"Model Portfolio Returns*",""
"View all productsexpand_more",""
"Go Pro","https://www.capitalgroup.com/advisor/pro"
"Markets & Economy",""
"Practice Management",""
"Portfolio Construction",""
"Retirement",""
"Wealth Planning",""
"Outlook",""
"Pathways to Growth",""
"Advisor Portfolio Insights",""
"Newsletter",""
"Courses",""
"Webinars & Events","https://www.capitalgroup.com/advisor/pro/events"
"Podcasts",""
"CE Credit Center",""
"See All Capital Ideas™expand_more",""
"Account Resource Center",""
"Forms & Literature",""
"Tax Center",""
"Submit Documents Online",""
"Contact Us",""
"Portfolio Analyzer",""
"Run a Hypothetical",""
"Screen or Compare Investments",""
"Portfolio Reliance Calculator",""
"",""
"Retirement Plan Resources & Tools",""
"Pricing, Presentations & Lineups","https://www.capitalgroup.com/advisor/tools-resources/retirement-planalyzer"
"Evaluate Target Date Series",""
"See All Tools & Resourcesexpand_more",""
"Who We Are",""
"Investment Approach",""
"Our History",""
"Our Culture",""
"Global Citizenship",""
"Our Leadership",""
"Newsroom",""
"Careers",""
"See More About Usexpand_more",""
"Log in to Client Accounts",""
"Log out of Client Accounts",""
"Log in to Capital Ideas Pro™ (Financial Professional site)",""
"Register for Capital Ideas Pro™",""
"username",""
"Log Out",""
"Log in to RIA Insider",""
"Log out",""
"PlanPremier®-Bundled","https://myretirement.americanfunds.com/sponsor"
"PlanPremier®-TPA","https://planadmin.americanfunds.com/"
"RecordkeeperDirect","https://www.myplanrs.com/tf/myPLAN/SponsorWelcome?cz=3000518"
"Register for Capital Ideas Pro™",""
"Adviser",""
"Institutions & Consultants",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Financiële tussenpersonen",""
"Individual Investors",""
"Financial Advisors",""
"Institutions and Consultants",""
"Particuliers",""
"Conseillers financiers",""
"Institutions et consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"機構投資者及顧問",""
"金融中介",""
"個人投資者",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Clienti Istituzionali",""
"Intermediari e Consulenti Finanziari",""
"Investitori privati",""
"Japan",""
"Financial Intermediaries",""
"Individual Investors",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Instituciones y consultores",""
"Intermediarios financieros",""
"Inversores individuales",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Financial Professional",""
"RIA",""
"Individual Investor",""
"Private Client",""
"Retirement Plan Investor",""
"Institution or Consultant",""
"Employer or Plan Sponsor",""
"Third-Party Administrator",""
"U.S. Offshore Advisors",""
"Offshore de EE. UU.",""
"International - other",""
"Asia - other",""
"Returns",""
"Daily Prices & Yields",""
"Symbols & Fund Numbers",""
"Share Class Information",""
"Historical Prices",""
"Historical Distributions",""
"Fund Holdings Search",""
"Returns",""
"Daily Prices & Yields",""
"Symbols & Fund Numbers",""
"Share Class Information",""
"Historical Prices",""
"Historical Distributions",""
"Fund Holdings Search",""
"SUMMARY PROSPECTUS tooltip: A legal document that provides a summary of a fund's prospectus. The summary prospectus includes information such as fund investment objectives, strategies, risks, costs, investment results and other information to help investors make an informed decision about investing in a fund.",""
"PROSPECTUS tooltip: A legal document describing the objectives of a fund, the background of fund managers, and key financial data, such as expenses and investment results. A prospectus is designed to provide investors with the information they need to make an informed decision about investing in a fund.",""
"SAI tooltip: SAI (statement of additional information): contains detailed information about various fund policies; officers, directors and others who manage the fund; investment services; brokerage commissions and tax issues.",""
"ANNUAL REPORT tooltip: A yearly record of a fund's financial status that must be distributed to shareholders under the Securities and Exchange Commission regulations. The report includes a review of the fund's expenses, investment results, key statistics and holdings information.",""
"SEMI-ANNUAL REPORT tooltip: A six-month record of a fund's financial status that must be distributed to shareholders under the Securities and Exchange Commission regulations. The report includes a review of the fund's expenses, key statistics and holdings information.",""
"AMCAP Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=023375827"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=023375827"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=023375827"
"",""
"",""
"American Funds® Global Insight Fund",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=14020E502"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=14020E502"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=14020E502"
"",""
"",""
"American Funds® International Vantage Fund",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=14019V507"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=14019V507"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=14019V507"
"",""
"",""
"EUPAC Fund™",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=29875E100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=29875E100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=29875E100"
"",""
"",""
"New Perspective Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=648018828"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=648018828"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=648018828"
"",""
"",""
"New World Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=649280823"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=649280823"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=649280823"
"",""
"",""
"SMALLCAP World Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=831681820"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=831681820"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=831681820"
"",""
"",""
"The Growth Fund of America®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=399874825"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=399874825"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=399874825"
"",""
"",""
"The New Economy Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=643822828"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=643822828"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=643822828"
"",""
"",""
"American Funds® Developing World Growth and Income Fund",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630F506"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630F506"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630F506"
"",""
"",""
"American Mutual Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=027681824"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=027681824"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=027681824"
"",""
"",""
"Capital World Growth and Income Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=140543828"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=140543828"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=140543828"
"",""
"",""
"Fundamental Investors®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=360802821"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=360802821"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=360802821"
"",""
"",""
"International Growth and Income Fund",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=45956T501"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=45956T501"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=45956T501"
"",""
"",""
"The Investment Company of America®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=461308827"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=461308827"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=461308827"
"",""
"",""
"Washington Mutual Investors Fund",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=939330825"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=939330825"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=939330825"
"",""
"",""
"Capital Income Builder®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=140194101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=140194101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=140194101"
"",""
"",""
"The Income Fund of America®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=453320822"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=453320822"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=453320822"
"",""
"",""
"American Balanced Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=024071821"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=024071821"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=024071821"
"",""
"",""
"American Funds® Global Balanced Fund",""
"FC",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02629W502"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02629W502"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02629W502"
"",""
"",""
"American Funds Corporate Bond Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02629H505"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02629H505"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02629H505"
"",""
"",""
"American Funds Emerging Markets Bond Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631F505"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631F505"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631F505"
"",""
"",""
"American Funds Inflation Linked Bond Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630D501"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630D501"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630D501"
"",""
"",""
"American Funds Mortgage Fund®",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630V501"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630V501"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630V501"
"",""
"",""
"American Funds® Multi-Sector Income Fund",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631W508"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631W508"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631W508"
"",""
"",""
"American Funds® Strategic Bond Fund",""
"QAR",""
"",""
"",""
